Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Portugal,5104.962732919254,208524.3198757764,25.76086956521739,71.34472049689441,75.29813664596273,5063664.596273292,14310.55900621118,1724.8354037267081,1.2267080745341614,3.046583850931677,2.770186335403727,22.180124223602483,56.52173913043478,48.891304347826086,54.37577639751553,64.11180124223603,48.909937888198755,62.56211180124224,56.077639751552795,48.67080745341615,57.98757763975155,65.12111801242236,67.09627329192547,66.36024844720497,68.16459627329192,68.53726708074534,66.96273291925466,62.81987577639752,65.99068322981367,65.72049689440993,64.53726708074534,52.83540372670807,61.577639751552795,50.70496894409938,55.36645962732919,59.19565217391305,53.475155279503106,64.99378881987577,49.74223602484472,51.43788819875776,48.18012422360248,16.736024844720497,16.67080745341615,16.214285714285715,16.493788819875775,16.785714285714285,73.32142857142857,322
Ukraine,5702.575342465753,224405.72602739726,25.136986301369863,70.42465753424658,75.0958904109589,4092328.7671232875,5986.301369863014,1628.849315068493,1.1232876712328768,3.0273972602739727,2.452054794520548,27.958904109589042,49.15068493150685,48.9041095890411,52.63013698630137,61.89041095890411,43.10958904109589,54.9041095890411,45.75342465753425,44.657534246575345,55.41095890410959,59.38356164383562,62.73972602739726,63.657534246575345,59.726027397260275,68.42465753424658,58.61643835616438,56.9041095890411,61.534246575342465,63.54794520547945,66.78082191780823,51.42465753424658,55.93150684931507,49.863013698630134,51.21917808219178,57.56164383561644,46.342465753424655,61.56164383561644,49.794520547945204,49.71232876712329,47.80821917808219,18.465753424657535,18.19178082191781,18.21917808219178,18.91780821917808,18.82191780821918,72.76027397260275,73
Russia,6259.835443037975,212599.18987341772,24.962025316455698,70.0632911392405,75.34177215189874,3238227.8481012657,3316.4556962025317,1649.126582278481,1.2025316455696202,3.1012658227848102,2.3797468354430378,32.177215189873415,51.20253164556962,49.12658227848101,52.08860759493671,61.379746835443036,44.12658227848101,56.40506329113924,47.51898734177215,46.0,56.36708860759494,58.78481012658228,64.44303797468355,65.0886075949367,60.65822784810127,65.53164556962025,61.151898734177216,56.75949367088607,62.78481012658228,63.18987341772152,64.48101265822785,49.58227848101266,55.40506329113924,48.46835443037975,51.79746835443038,57.59493670886076,50.11392405063291,60.607594936708864,48.22784810126582,48.75949367088607,47.24050632911393,21.0126582278481,20.31645569620253,20.924050632911392,21.0126582278481,21.582278481012658,72.70253164556962,79
Cape Verde,4536.315789473684,216007.0,27.42105263157895,71.63157894736842,73.73684210526316,4426578.947368421,11526.315789473685,1769.9473684210527,1.105263157894737,2.9473684210526314,2.789473684210526,20.36842105263158,54.473684210526315,55.526315789473685,64.52631578947368,66.73684210526316,50.8421052631579,64.63157894736842,56.0,48.26315789473684,58.05263157894737,68.3157894736842,70.26315789473684,70.89473684210526,69.10526315789474,68.42105263157895,65.73684210526316,67.10526315789474,69.94736842105263,72.10526315789474,73.42105263157895,58.26315789473684,64.63157894736842,52.31578947368421,59.578947368421055,61.05263157894737,56.89473684210526,66.73684210526316,50.78947368421053,50.73684210526316,48.21052631578947,10.526315789473685,9.947368421052632,12.421052631578947,10.842105263157896,9.368421052631579,72.6842105263158,19
Israel,4192.357142857143,205334.42857142858,28.214285714285715,72.14285714285714,73.0,4191071.4285714286,15857.142857142857,1764.5714285714287,1.2142857142857142,3.4285714285714284,2.9285714285714284,11.714285714285714,56.285714285714285,58.142857142857146,57.42857142857143,65.64285714285714,54.857142857142854,66.78571428571429,56.92857142857143,53.642857142857146,57.07142857142857,68.71428571428571,65.71428571428571,68.78571428571429,69.64285714285714,69.0,67.5,64.64285714285714,68.78571428571429,69.78571428571429,69.35714285714286,57.142857142857146,57.642857142857146,44.357142857142854,62.357142857142854,61.357142857142854,61.142857142857146,67.35714285714286,46.785714285714285,47.642857142857146,44.714285714285715,15.071428571428571,14.928571428571429,13.857142857142858,15.071428571428571,13.785714285714286,72.57142857142857,14
Brazil,5141.2527206771465,218810.8016928658,27.62515114873035,71.2515114873035,73.35187424425635,4602629.987908102,17778.718258766625,1712.1342200725514,1.1636363636363636,2.9454545454545453,2.633939393939394,18.682424242424243,54.69939393939394,50.65939393939394,57.61333333333334,63.63030303030303,49.91878787878788,60.85090909090909,53.403636363636366,50.25575757575758,57.24,63.84121212121212,66.31878787878787,66.70181818181818,65.20121212121212,68.37454545454545,63.96606060606061,61.36242424242424,64.91151515151515,65.67515151515151,67.2630303030303,53.980606060606064,59.97212121212121,51.28242424242424,54.738181818181815,58.1139393939394,55.30060606060606,65.24121212121211,49.22181818181818,51.28484848484848,48.981818181818184,15.846060606060606,15.44,15.50909090909091,15.389090909090909,16.076363636363638,72.30169286577993,827
Spain,6631.419776119403,211509.63619402985,25.325559701492537,69.69869402985074,74.61660447761194,4390718.2835820895,16322.76119402985,1664.8703358208954,1.1802054154995332,3.0046685340802988,2.4789915966386555,17.552754435107378,54.374416433239965,48.765639589169,53.6171802054155,63.53408029878618,44.51260504201681,58.12231559290383,52.673202614379086,47.128851540616246,56.8422035480859,62.894491129785244,63.58730158730159,63.435107376283845,63.98225957049486,65.43977591036415,64.53408029878618,57.979458450046685,64.953314659197,63.23622782446312,64.00093370681606,50.183940242763775,56.43977591036415,50.36974789915966,53.631185807656394,57.08496732026144,51.014939309056956,60.66946778711485,50.31839402427638,50.4500466853408,48.22222222222222,16.81139122315593,16.835667600373483,16.408029878618112,16.703081232493,16.868347338935575,72.15764925373135,1072
Togo,5277.5,187476.41666666666,28.25,71.33333333333333,72.91666666666667,3770833.3333333335,16000.0,1793.5,1.3333333333333333,3.1666666666666665,2.8333333333333335,12.333333333333334,61.333333333333336,55.75,64.41666666666667,68.5,56.916666666666664,66.16666666666667,57.666666666666664,52.5,60.333333333333336,69.08333333333333,74.83333333333333,76.08333333333333,72.58333333333333,67.75,68.5,70.0,71.75,66.08333333333333,69.16666666666667,60.083333333333336,64.75,46.583333333333336,60.833333333333336,62.833333333333336,58.0,64.66666666666667,45.833333333333336,45.583333333333336,42.666666666666664,11.666666666666666,11.083333333333334,11.833333333333334,11.416666666666666,10.916666666666666,72.125,12
Croatia,6710.277777777777,224036.9841269841,24.88095238095238,69.56349206349206,74.4920634920635,5223849.206349206,21682.539682539682,1623.8253968253969,1.2777777777777777,3.0952380952380953,2.4523809523809526,23.984126984126984,49.91269841269841,47.198412698412696,56.507936507936506,61.05555555555556,44.1031746031746,56.77777777777778,47.23015873015873,43.992063492063494,54.79365079365079,60.801587301587304,61.73015873015873,63.0,59.611111111111114,64.52380952380952,57.30952380952381,57.08730158730159,62.20634920634921,62.91269841269841,69.5,48.51587301587302,58.92063492063492,50.20634920634921,50.05555555555556,54.96825396825397,49.698412698412696,61.26190476190476,50.53968253968254,51.682539682539684,49.42063492063492,16.57936507936508,15.396825396825397,15.642857142857142,16.26984126984127,15.873015873015873,72.02777777777777,126
Peru,5693.891891891892,212860.1081081081,25.864864864864863,70.21621621621621,73.64864864864865,2568243.243243243,7432.4324324324325,1687.5405405405406,1.135135135135135,3.108108108108108,2.7027027027027026,14.135135135135135,53.945945945945944,50.486486486486484,56.24324324324324,63.0,48.729729729729726,61.5945945945946,51.945945945945944,47.08108108108108,58.37837837837838,63.24324324324324,69.56756756756756,68.56756756756756,68.29729729729729,64.10810810810811,69.21621621621621,60.67567567567568,66.27027027027027,64.8108108108108,61.189189189189186,52.7027027027027,52.54054054054054,46.86486486486486,54.351351351351354,56.027027027027025,53.054054054054056,61.45945945945946,48.13513513513514,47.648648648648646,44.7027027027027,17.54054054054054,16.81081081081081,15.972972972972974,17.054054054054053,16.783783783783782,71.93243243243244,37
