Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Afghanistan,14335.5,234743.5,22.5,61.0,67.75,342500.0,1250.0,1613.25,1.0,2.75,2.5,16.25,58.0,50.5,42.0,60.75,42.25,58.5,54.5,48.25,54.0,60.25,70.5,68.0,76.25,55.75,77.25,53.75,58.5,70.0,55.25,51.5,53.25,45.5,52.0,51.5,51.5,57.25,45.75,48.25,47.75,13.0,12.0,9.25,8.5,9.25,64.375,4
Albania,9259.1,221682.45,24.025,65.925,71.7,1920250.0,7100.0,1643.475,1.1025641025641026,3.1025641025641026,2.4871794871794872,20.46153846153846,53.23076923076923,47.51282051282051,51.282051282051285,60.87179487179487,44.64102564102564,58.07692307692308,49.35897435897436,46.35897435897436,54.30769230769231,60.8974358974359,67.05128205128206,67.84615384615384,66.23076923076923,60.35897435897436,65.97435897435898,57.743589743589745,63.97435897435897,66.35897435897436,63.48717948717949,50.41025641025641,60.05128205128205,50.30769230769231,54.23076923076923,55.15384615384615,50.23076923076923,60.43589743589744,51.30769230769231,51.282051282051285,48.38461538461539,13.615384615384615,13.35897435897436,13.58974358974359,13.282051282051283,14.384615384615385,68.8125,40
Algeria,5602.183333333333,206355.71666666667,27.05,70.63333333333334,72.98333333333333,4670916.666666667,18083.333333333332,1723.7166666666667,1.3,3.1333333333333333,2.816666666666667,19.95,57.63333333333333,52.0,55.71666666666667,65.71666666666667,49.78333333333333,62.95,56.15,52.1,59.6,65.25,65.73333333333333,66.11666666666666,66.86666666666666,65.98333333333333,65.81666666666666,60.75,66.86666666666666,65.63333333333334,66.9,53.0,62.18333333333333,49.56666666666667,56.9,59.45,54.93333333333333,65.96666666666667,47.8,49.733333333333334,45.9,15.866666666666667,15.033333333333333,14.8,15.183333333333334,15.8,71.80833333333334,60
Andorra,13651.0,192937.0,28.0,62.0,64.0,290000.0,1000.0,1517.0,1.0,3.0,2.0,17.0,53.0,28.0,70.0,49.0,41.0,50.0,37.0,29.0,58.0,54.0,57.0,71.0,47.0,56.0,53.0,58.0,73.0,64.0,75.0,32.0,69.0,55.0,37.0,48.0,34.0,50.0,54.0,56.0,67.0,9.0,7.0,12.0,8.0,6.0,63.0,1
Angola,7979.333333333333,206676.0,25.866666666666667,67.6,71.53333333333333,2018333.3333333333,7666.666666666667,1707.0,1.1333333333333333,3.066666666666667,2.933333333333333,27.933333333333334,55.333333333333336,54.4,57.86666666666667,61.733333333333334,52.86666666666667,65.6,52.8,47.0,53.4,65.73333333333333,78.6,78.8,74.33333333333333,62.46666666666667,68.86666666666666,65.6,71.53333333333333,63.0,70.06666666666666,54.2,60.06666666666667,44.13333333333333,58.93333333333333,52.666666666666664,56.53333333333333,63.266666666666666,47.733333333333334,42.13333333333333,39.4,11.266666666666667,9.733333333333333,9.8,10.2,10.2,69.56666666666666,15
Antigua & Barbuda,12541.5,214706.25,22.75,62.5,67.75,535000.0,2500.0,1605.25,1.0,3.0,2.5,8.75,58.75,48.75,47.5,54.75,34.0,61.25,41.75,37.0,48.0,59.25,83.5,81.75,70.0,53.0,71.5,52.0,72.25,73.5,70.0,47.5,53.75,44.25,52.5,56.75,42.75,54.5,41.25,48.25,46.0,9.75,11.5,10.75,11.25,10.5,65.125,4
Argentina,7285.958377801494,214452.5613660619,26.2059765208111,68.57203842049093,73.21024546424759,3077011.73959445,11502.668089647812,1639.410885805763,1.1335470085470085,2.8707264957264957,2.4540598290598292,16.266025641025642,51.31944444444444,48.126068376068375,55.129273504273506,60.449786324786324,44.863247863247864,58.06837606837607,48.88354700854701,44.88354700854701,54.16132478632478,60.80876068376068,64.625,64.31837606837607,64.19337606837607,64.38568376068376,64.37606837606837,57.60683760683761,65.57692307692308,64.16239316239316,65.5619658119658,50.01816239316239,56.72542735042735,47.65384615384615,52.368589743589745,54.86217948717949,51.84188034188034,60.452991452991455,48.276709401709404,47.97008547008547,46.340811965811966,16.30982905982906,16.286324786324787,16.28525641025641,16.48611111111111,16.431623931623932,70.89114194236926,937
Armenia,7286.5,209415.3,26.8,69.0,71.8,3717500.0,22000.0,1722.7,1.3,3.2,2.9,15.4,56.3,64.2,55.8,63.0,60.0,68.4,57.6,52.2,52.5,68.6,73.7,71.0,71.9,63.9,70.7,68.1,64.3,65.5,64.1,63.4,54.4,38.7,66.6,62.3,65.2,64.1,39.3,34.1,33.0,10.5,12.2,10.7,10.7,9.8,70.4,10
Australia,11831.161016949152,213023.25423728814,24.406779661016948,62.652542372881356,68.36016949152543,736970.3389830509,3351.6949152542375,1524.2711864406779,1.0127118644067796,2.919491525423729,2.194915254237288,16.334745762711865,46.19491525423729,43.04237288135593,47.03813559322034,55.42372881355932,38.03813559322034,51.483050847457626,42.82203389830509,37.516949152542374,48.98728813559322,53.74152542372882,65.35593220338983,65.20762711864407,63.563559322033896,56.483050847457626,63.317796610169495,49.00847457627118,64.16949152542372,63.20762711864407,65.67796610169492,41.690677966101696,53.69491525423729,44.766949152542374,47.25423728813559,50.851694915254235,45.75,56.639830508474574,44.63135593220339,46.152542372881356,44.16525423728814,17.360169491525422,16.953389830508474,17.0,16.597457627118644,17.122881355932204,65.50635593220339,236
Austria,10205.671140939598,214589.9798657718,24.654362416107382,64.91610738255034,69.84563758389261,1608657.7181208055,7667.785234899329,1545.0637583892617,1.0675675675675675,3.070945945945946,2.222972972972973,19.83445945945946,46.76013513513514,42.0472972972973,50.58783783783784,55.80067567567568,39.229729729729726,51.75,45.45608108108108,40.060810810810814,50.020270270270274,55.152027027027025,62.108108108108105,62.2195945945946,60.74324324324324,60.304054054054056,61.820945945945944,52.75,64.41891891891892,62.00337837837838,66.00337837837837,44.32432432432432,54.013513513513516,46.4527027027027,45.90878378378378,50.770270270270274,44.736486486486484,54.645270270270274,46.46621621621622,47.027027027027025,45.63175675675676,18.364864864864863,18.131756756756758,17.679054054054053,18.074324324324323,18.60472972972973,67.38087248322148,298
